pad_number,x,y,via_x,via_y,connector_number,connector_pin,pin_name,sector,strip,channel_id,pin_x,pin_y,pad_angle,pad_cx,pad_cy,pad_area,pad_w,pad_h,radius,phi,delta_phi,mec8_connector,mec8_pin
253,494.301,59.316,482.909,58.411,1,136,S126,1,4,131,628.5554,99.2708,280.438,482.8628,58.341,132.874,12.4258,11.9981,534.004,0.150186,0.00236426,0,5
254,593.658,72.841,585.072,70.342,1,137,S127,1,1,128,620.4833,97.2753,280.438,585.0244,70.2714,133.032,12.4475,12.0072,634.268,0.14783171,0.0,0,4
255,505.805,59.358,494.417,58.425,1,138,S128,1,2,129,628.646,98.7791,280.438,494.3705,58.355,132.889,12.456,12.0287,545.3874,0.14710612,-0.00072559,0,3
256,505.705,165.57,494.6,162.832,2,3,S1,2,127,382,598.7745,189.5518,286.036,494.5681,162.7534,132.927,12.1811,11.7343,570.6153,0.33231435,0.00070852,1,68
257,538.233,176.433,526.835,174.555,2,4,S2,2,128,383,606.7515,191.8446,286.036,526.8029,174.4766,132.983,12.2064,11.7558,604.9077,0.33174735,-0.000567,1,67
258,473.134,154.84,462.362,151.109,2,5,S3,2,125,380,598.9126,189.0713,286.036,462.3307,151.0308,132.868,12.1527,11.7101,536.3261,0.33321442,-0.00167761,1,66
259,549.053,180.068,538.817,174.694,2,6,S4,2,126,381,606.8896,191.3641,286.036,538.7834,174.616,132.996,12.1389,11.6844,616.3216,0.33160583,-0.00160859,1,65
260,516.678,168.753,506.574,162.97,2,7,S5,2,123,378,599.0507,188.5908,286.036,506.5408,162.8918,132.951,12.1091,11.6585,582.0267,0.33133349,-0.00253863,1,64
261,397.293,129.4,385.905,127.521,2,8,S6,2,124,379,607.0277,190.8836,286.036,385.8753,127.4441,132.678,12.1702,11.7454,456.3363,0.33489203,0.00355854,1,63
262,364.761,118.539,353.667,115.802,2,9,S7,2,121,376,599.1888,188.1102,286.036,353.638,115.7254,132.564,12.1315,11.7134,422.0422,0.33592173,0.01015978,1,62
263,440.621,143.936,430.122,139.386,2,10,S8,2,122,377,607.1659,190.403,286.036,430.0905,139.309,132.792,12.1194,11.6812,502.035,0.33387212,-0.00204961,1,61
264,484.437,157.029,474.328,151.245,2,11,S9,2,119,374,599.327,187.6297,286.036,474.2951,151.1677,132.894,12.0765,11.6288,547.7257,0.33024136,-0.00330871,1,60
265,560.994,180.3,550.777,174.826,2,12,S10,2,120,375,607.304,189.9225,286.036,550.743,174.7476,133.021,12.0744,11.6142,627.6983,0.32576195,-0.00447941,1,59
266,332.185,107.811,321.425,104.085,2,13,S11,2,117,372,599.4651,187.1491,286.036,321.397,104.0084,132.431,12.0851,11.6762,387.751,0.3374948,-0.00540507,1,58
267,408.266,132.554,397.877,127.665,2,14,S12,2,118,373,607.4421,189.4419,286.036,397.8469,127.5876,132.702,12.0792,11.6488,467.7367,0.33355007,-0.00394473,1,57
268,529.025,167.701,518.525,163.099,2,15,S13,2,115,370,599.6032,186.6686,286.036,518.4918,163.0216,132.974,12.0406,11.5849,593.3811,0.32288804,-0.00456026,1,56
269,256.165,82.897,244.968,80.504,2,16,S14,2,116,371,607.5802,188.9614,286.036,244.9452,80.4291,131.96,12.0891,11.7219,307.7744,0.34289987,0.02001183,1,55
270,376.018,120.833,365.628,115.945,2,17,S15,2,113,368,599.7413,186.188,286.036,365.5984,115.8676,132.601,12.0335,11.6093,433.4289,0.33235719,0.01554788,1,54
271,452.435,144.543,442.077,139.521,2,18,S16,2,114,369,607.7183,188.4808,286.036,442.0451,139.4443,132.819,12.0385,11.5942,513.4062,0.3274483,-0.00490889,1,53
272,300.056,95.723,289.177,92.369,2,19,S17,2,111,366,599.8794,185.7075,286.036,289.1508,92.2937,132.26,12.0262,11.63,353.4327,0.33532354,0.01443081,1,52
273,570.824,177.609,562.717,174.95,2,20,S18,2,112,367,607.8565,188.0003,286.036,562.6824,174.8722,133.037,12.0107,11.5479,636.1756,0.31680931,-0.01851423,1,51
274,420.183,132.819,409.822,127.798,2,21,S19,2,109,364,600.0176,185.2269,286.036,409.7903,127.7217,132.74,11.9937,11.5561,479.0976,0.32592895,-0.01794739,1,50
275,496.841,155.756,486.27,151.373,2,22,S20,2,110,365,607.9946,187.5197,286.036,486.2364,151.2961,132.911,12.0036,11.5501,559.0711,0.32089273,-0.00503622,1,49
276,541.195,167.087,530.456,163.222,2,23,S21,2,107,362,600.1557,184.7464,286.036,530.422,163.1442,132.986,11.9742,11.5137,604.7437,0.31553958,-0.01394144,1,48
277,223.766,71.614,212.723,68.798,2,24,S22,2,108,363,608.1327,187.0392,286.036,212.7024,68.7243,131.661,12.0116,11.6667,273.4681,0.34387634,0.02833676,1,47
278,464.642,143.832,454.008,139.648,2,25,S23,2,105,360,600.2938,184.2659,286.036,453.9756,139.5704,132.843,11.9613,11.511,524.756,0.31868347,-0.01841785,1,46
279,343.947,108.549,333.373,104.226,2,26,S24,2,106,361,608.2708,186.5587,286.036,333.3442,104.1496,132.475,11.9784,11.562,399.1067,0.32948102,0.01079755,1,45
280,388.02,120.791,377.56,116.076,2,27,S25,2,103,358,600.4319,183.7853,286.036,377.529,115.9993,132.647,11.9409,11.5092,444.778,0.3234636,0.00991529,1,44
281,267.484,84.973,256.922,80.658,2,28,S26,2,104,359,608.4089,186.0781,286.036,256.8975,80.5828,132.048,11.953,11.5727,319.1378,0.33710132,0.01363772,1,43
282,311.378,97.798,301.11,92.509,2,29,S27,2,101,356,600.57,183.3048,286.036,301.0819,92.4334,132.32,11.9169,11.5055,364.8112,0.3304817,0.01389044,1,42
283,508.929,155.359,498.19,151.494,2,30,S28,2,102,357,608.5471,185.5976,286.036,498.1558,151.4166,132.924,11.9329,11.4756,570.4322,0.31354831,-0.01693339,1,41
284,553.223,166.836,542.367,163.337,2,31,S29,2,99,354,600.7082,182.8242,286.036,542.3326,163.26,133.01,11.9102,11.4452,616.1127,0.30909388,-0.04128121,1,40
285,432.376,132.106,421.74,127.922,2,32,S30,2,100,355,608.6852,185.117,286.036,421.7082,127.8452,132.769,11.9106,11.466,490.4418,0.31659126,0.00749738,1,39
286,355.753,109.069,345.29,104.355,2,33,S31,2,97,352,600.8463,182.3437,286.036,345.2596,104.2789,132.516,11.9087,11.4547,410.4594,0.32137337,0.01066191,1,38
287,190.968,61.52,180.468,57.101,2,34,S32,2,98,353,608.8233,184.6365,286.036,180.4507,57.0287,131.225,11.9534,11.5928,239.1923,0.35037509,0.02900172,1,37
288,235.094,73.648,224.657,68.951,2,37,S33,2,95,350,601.1225,181.3826,286.036,224.6342,68.8775,131.77,11.9388,11.5044,284.825,0.33719081,-0.02251604,1,34
289,476.749,143.326,465.917,139.765,2,38,S34,2,96,351,609.0996,183.6754,286.036,465.8831,139.6884,132.865,11.8931,11.432,536.1119,0.31071146,-0.02647935,1,33
290,520.997,154.928,510.09,151.607,2,39,S35,2,93,348,601.2606,180.902,286.036,510.055,151.5298,132.953,11.8895,11.4042,581.7936,0.30644574,-0.005613,1,32
